speaker_id,place,sex,age_group,dialect_region,fg_dialect_region,latitude,longitude
alvdal_03gm,Alvdal,M,B,east,Østlandsk,62.0965119,10.5024921
aremark_04gk,Aremark,F,B,east,Østlandsk,59.1859253,11.6873345
aure_01um,Aure,M,A,mid,Uttrøndersk,63.2802049,8.5111891
todalen_02uk,Aure,F,A,mid,Uttrøndersk,63.2802049,8.5111891
ballangen_02uk,Ballangen,F,A,north,Nordlandsk,68.342872,16.8313381
langesund_03gm,Bamble,M,B,east,Sørlandsk,59.0180854,9.5443135
beiarn_04gk,Beiarn,F,B,north,Nordlandsk,66.8918454,14.665143
beiarn_01um,Beiarn,M,A,north,Nordlandsk,66.8918454,14.665143
bergen_01um,Bergen,M,A,west,Sørvestlandsk,60.3943055,5.3259192
bjugn_16,Bjugn,F,A,mid,Uttrøndersk,63.7649663,9.808629
bodoe_03gm,Bodø,M,B,north,Nordlandsk,67.2844313,14.3817503
kalvaag_04gk,Bremanger,F,B,west,Nordvestlandsk,61.8481029,5.0571352
bud_01um,Bud,M,A,west,Nordvestlandsk,62.9072555,6.9140743
lommedalen_02uk,Bærum,F,A,east,Østlandsk,59.9289639,10.4997108
boemlo_03gm,Bømlo,M,B,west,Sørvestlandsk,59.8011502,5.1866408
heroeyN_04gk,Dønna,F,B,north,Helgelandsk,66.1662544,12.4573928
eidfjord_01um,Eidfjord,M,A,west,Sørvestlandsk,60.3456582,7.4012145
enebakk_02uk,Enebakk,F,A,east,Østlandsk,59.7692492,11.1045466
drevsjoe_03gm,Engerdal,M,B,east,Østlandsk,61.9734157,11.9400962
evje_04gk,Evje og Hornnes,F,B,east,Sørlandsk,58.5860538,7.8615068
flaa_01um,Flå,M,A,east,Midlandsk,60.4343238,9.5403716
fredrikstad_02uk,Fredrikstad,F,A,east,Østlandsk,59.1862013,10.8680241
fusa_03gm,Fusa,M,B,west,Sørvestlandsk,60.1935843,5.7357713
gausdal_08gk,Gausdal,F,B,east,Midlandsk,61.2640681,9.8532187
gjesdal_01um,Gjesdal,M,A,west,Sørvestlandsk,58.8312089,6.2770851
landvik_02uk,Grimstad,F,A,east,Sørlandsk,58.2839967,8.7128291
kirkenaer_05um,Grue,M,A,east,Østlandsk,60.4136053,12.2213265
hammerfest_04gk,Hammerfest,F,B,north,Troms-Finnmarks-mål,70.6413392,23.8360801
hattfjelldal_01um,Hattfjelldal,M,A,north,Helgelandsk,65.4999558,14.170607
hjartdal_02uk,Hjartdal,F,A,east,Midlandsk,59.6930294,8.690956
hjelmeland_03gm,Hjelmeland,M,B,west,Sørvestlandsk,59.203514,6.4062042
hof_04gk,Hof,F,B,east,Østlandsk,59.530321,10.0883162
hyllestad_01um,Hyllestad,M,A,west,Nordvestlandsk,61.1683881,5.2496216
inderoey_02uk,Inderøy,F,A,mid,Østtrøndsk,63.8499165,11.0926448
skaugdalen_39,Indre Fosen,M,B,mid,Østtrøndsk,63.6581939,10.2481551
jevnaker_04gk,Jevnaker,F,B,east,Østlandsk,60.8290235,11.2706474
joelster_01um,Jølster,M,A,west,Nordvestlandsk,61.5714843,6.4791646
karmoey_03gm,Karmøy,M,B,west,Sørvestlandsk,59.2302888,5.1536117
kautokeino_04gk,Kautokeino,F,B,north,Troms-Finnmarks-mål,69.1325609,23.5782998
kristiansand_01um,Kristiansand,M,A,west,Sørlandsk,58.0856276,7.931858
kvinnherad_03gm,Kvinnherad,M,B,west,Sørvestlandsk,59.9531724,6.0325141
kvaefjord_04gk,Kvæfjord,F,B,north,Troms-Finnmarks-mål,68.6875552,16.0922263
kvaenangen_01um,Kvænangen,M,A,north,Troms-Finnmarks-mål,69.8594962,22.0571038
kaafjord_02uk,Kåfjord,F,A,north,Troms-Finnmarks-mål,69.4973215,20.7271716
lardal_03gm,Lardal,M,B,east,Østlandsk,59.4017115,9.9634678
brunlanes_04gk,Larvik,F,B,east,Østlandsk,59.0967308,10.02193
lavangen_01um,Lavangen,M,A,north,Troms-Finnmarks-mål,68.7169832,17.8162748
kjoellefjord_02uk,Lebesby,F,A,north,Troms-Finnmarks-mål,70.6657291,26.8128235
sylling_03gm,Lier,M,B,east,Østlandsk,59.8453135,10.2115525
lierne_04gk,Lierne,F,B,mid,Østtrøndsk,64.4116728,13.6038091
lindaas_01um,Lindås,M,A,west,Sørvestlandsk,60.7363494,5.1614412
lom_02uk,Lom,F,A,east,Midlandsk,61.7142578,8.4258977
luster_03gm,Luster,M,B,west,Sørvestlandsk,61.5189484,7.5692149
lyngdal_04gk,Lyngdal,F,B,west,Sørvestlandsk,58.1516995,7.0523045
gauldal_01um,Melhus,M,A,mid,Østtrøndsk,63.1814332,10.3081345
meraaker_02uk,Meråker,F,A,mid,Østtrøndsk,63.3969215,11.8124874
mo_i_rana_03gm,Mo i Rana,M,B,north,Helgelandsk,66.3110969,14.1386991
kirkesdalen_04gk,Målselv,F,B,north,Troms-Finnmarks-mål,68.969193,19.3970839
namdalen_01um,Namsos,M,A,mid,Namdalsk,64.4666372,11.3345047
