speaker_id,place,sex,age_group,dialect_region,fg_dialect_region,latitude,longitude
alvdal_04gk,Alvdal,F,B,east,Østlandsk,62.0965119,10.5024921
aremark_01um,Aremark,M,A,east,Østlandsk,59.1859253,11.6873345
aure_02uk,Aure,F,A,mid,Uttrøndersk,63.2802049,8.5111891
todalen_03gm,Aure,M,B,mid,Uttrøndersk,63.2802049,8.5111891
ballangen_03gm,Ballangen,M,B,north,Nordlandsk,68.342872,16.8313381
langesund_04gk,Bamble,F,B,east,Sørlandsk,59.0180854,9.5443135
beiarn_05um,Beiarn,M,A,north,Nordlandsk,66.8918454,14.665143
bergen_02uk,Bergen,F,A,west,Sørvestlandsk,60.3943055,5.3259192
bjugn_15,Bjugn,M,B,mid,Uttrøndersk,63.7649663,9.808629
bodoe_04gk,Bodø,F,B,north,Nordlandsk,67.2844313,14.3817503
kalvaag_01um,Bremanger,M,A,west,Nordvestlandsk,61.8481029,5.0571352
bud_02uk,Bud,F,A,west,Nordvestlandsk,62.9072555,6.9140743
lommedalen_03gm,Bærum,M,B,east,Østlandsk,59.9289639,10.4997108
boemlo_04gk,Bømlo,F,B,west,Sørvestlandsk,59.8011502,5.1866408
heroeyN_01um,Dønna,M,A,north,Helgelandsk,66.1662544,12.4573928
eidfjord_02uk,Eidfjord,F,A,west,Sørvestlandsk,60.3456582,7.4012145
enebakk_03gm,Enebakk,M,B,east,Østlandsk,59.7692492,11.1045466
drevsjoe_04gk,Engerdal,F,B,east,Østlandsk,61.9734157,11.9400962
evje_01um,Evje og Hornnes,M,A,east,Sørlandsk,58.5860538,7.8615068
flaa_02uk,Flå,F,A,east,Midlandsk,60.4343238,9.5403716
fredrikstad_03gm,Fredrikstad,M,B,east,Østlandsk,59.1862013,10.8680241
fusa_04gk,Fusa,F,B,west,Sørvestlandsk,60.1935843,5.7357713
gausdal_05um,Gausdal,M,A,east,Midlandsk,61.2640681,9.8532187
gjesdal_02uk,Gjesdal,F,A,west,Sørvestlandsk,58.8312089,6.2770851
landvik_03gm,Grimstad,M,B,east,Sørlandsk,58.2839967,8.7128291
kirkenaer_04gk,Grue,F,B,east,Østlandsk,60.4136053,12.2213265
hammerfest_06uk,Hammerfest,F,A,north,Troms-Finnmarks-mål,70.6413392,23.8360801
hattfjelldal_02uk,Hattfjelldal,F,A,north,Helgelandsk,65.4999558,14.170607
hjartdal_03gm,Hjartdal,M,B,east,Midlandsk,59.6930294,8.690956
hjelmeland_04gk,Hjelmeland,F,B,west,Sørvestlandsk,59.203514,6.4062042
hof_01um,Hof,M,A,east,Østlandsk,59.530321,10.0883162
hyllestad_02uk,Hyllestad,F,A,west,Nordvestlandsk,61.1683881,5.2496216
inderoey_03gm,Inderøy,M,B,mid,Østtrøndsk,63.8499165,11.0926448
skaugdalen_37,Indre Fosen,F,B,mid,Østtrøndsk,63.6581939,10.2481551
jevnaker_01um,Jevnaker,M,A,east,Østlandsk,60.8290235,11.2706474
joelster_02uk,Jølster,F,A,west,Nordvestlandsk,61.5714843,6.4791646
karmoey_04gk,Karmøy,F,B,west,Sørvestlandsk,59.2302888,5.1536117
kautokeino_01um,Kautokeino,M,A,north,Troms-Finnmarks-mål,69.1325609,23.5782998
kristiansand_02uk,Kristiansand,F,A,west,Sørlandsk,58.0856276,7.931858
kvinnherad_04gk,Kvinnherad,F,B,west,Sørvestlandsk,59.9531724,6.0325141
kvaefjord_01um,Kvæfjord,M,A,north,Troms-Finnmarks-mål,68.6875552,16.0922263
kvaenangen_02uk,Kvænangen,F,A,north,Troms-Finnmarks-mål,69.8594962,22.0571038
kaafjord_03gm,Kåfjord,M,B,north,Troms-Finnmarks-mål,69.4973215,20.7271716
kaafjord_07gm,Kåfjord,M,B,north,Troms-Finnmarks-mål,69.4973215,20.7271716
lardal_04gk,Lardal,F,B,east,Østlandsk,59.4017115,9.9634678
brunlanes_01um,Larvik,M,A,east,Østlandsk,59.0967308,10.02193
lavangen_02uk,Lavangen,F,A,north,Troms-Finnmarks-mål,68.7169832,17.8162748
kjoellefjord_03gm,Lebesby,M,B,north,Troms-Finnmarks-mål,70.6657291,26.8128235
sylling_04gk,Lier,F,B,east,Østlandsk,59.8453135,10.2115525
lierne_01um,Lierne,M,A,mid,Østtrøndsk,64.4116728,13.6038091
lindaas_02uk,Lindås,F,A,west,Sørvestlandsk,60.7363494,5.1614412
lom_03gm,Lom,M,B,east,Midlandsk,61.7142578,8.4258977
luster_04gk,Luster,F,B,west,Sørvestlandsk,61.5189484,7.5692149
lyngdal_01um,Lyngdal,M,A,west,Sørvestlandsk,58.1516995,7.0523045
gauldal_02uk,Melhus,F,A,mid,Østtrøndsk,63.1814332,10.3081345
meraaker_03gm,Meråker,M,B,mid,Østtrøndsk,63.3969215,11.8124874
mo_i_rana_04gk,Mo i Rana,F,B,north,Helgelandsk,66.3110969,14.1386991
kirkesdalen_01um,Målselv,M,A,north,Troms-Finnmarks-mål,68.969193,19.3970839
namdalen_02uk,Namsos,F,A,mid,Namdalsk,64.4666372,11.3345047
narvik_03gm,Narvik,M,B,north,Nordlandsk,69.0639754,18.5096004
nes_04gk,Nes,F,B,east,Midlandsk,60.1705037,11.4551179
nes_03gm,Nes,M,B,east,Østlandsk,60.1705037,11.4551179
nissedal_01um,Nissedal,M,A,east,Sørlandsk,59.0497365,8.5280135
oppdal_02uk,Oppdal,F,A,mid,Østtrøndsk,62.5351785,9.6233763
dalsbygda_03gm,Os,M,B,east,Sørvestlandsk,62.4151857,11.4096629
dalsbygda_02uk,Os,F,A,east,Sørvestlandsk,62.4151857,11.4096629
lakselv_04gk,Porsanger,F,B,north,Troms-Finnmarks-mål,70.2331268,25.1993945
rauma_01um,Rauma,M,A,west,Nordvestlandsk,62.4454746,7.6883586
brekkom_02uk,Ringebu,F,A,east,Midlandsk,61.5572191,10.3649275
rollag_03gm,Rollag,M,B,east,Midlandsk,60.0156726,9.2080743
roemskog_04gk,Rømskog,F,B,east,Østlandsk,59.7492558,11.8128562
roeros_01um,Røros,M,A,mid,Østtrøndsk,62.5695151,11.6604412
selbu_02uk,Selbu,F,A,mid,Østtrøndsk,63.1754254,11.1596265
stonglandseidet_47,Senja,M,B,north,Troms-Finnmarks-mål,69.3865567,17.5147192
botnhamn_03,Senja,M,B,north,Troms-Finnmarks-mål,69.3865567,17.5147192
sirdal_04gk,Sirdal,F,B,west,Sørvestlandsk,58.8454,6.8221129
sokndal_01um,Sokndal,M,A,west,Sørvestlandsk,58.2461254,6.1595656
stange_02uk,Stange,F,A,east,Østlandsk,60.6244351,11.3831208
stavanger_03gm,Stavanger,M,B,west,Sørvestlandsk,58.9699675,5.7318101
steigen_04gk,Steigen,F,B,north,Nordlandsk,67.8535836,14.8017083
