speaker_id,place,sex,age_group,dialect_region,fg_dialect_region,latitude,longitude
alvdal_02uk,Alvdal,F,A,east,Østlandsk,62.0965119,10.5024921
aremark_03gm,Aremark,M,B,east,Østlandsk,59.1859253,11.6873345
todalen_04gk,Aure,F,B,mid,Uttrøndersk,63.2802049,8.5111891
todalen_01um,Aure,M,A,mid,Uttrøndersk,63.2802049,8.5111891
ballangen_01um,Ballangen,M,A,north,Nordlandsk,68.342872,16.8313381
langesund_02uk,Bamble,F,A,east,Sørlandsk,59.0180854,9.5443135
beiarn_03gm,Beiarn,M,B,north,Nordlandsk,66.8918454,14.665143
bergen_04gk,Bergen,F,B,west,Sørvestlandsk,60.3943055,5.3259192
bjugn_23,Bjugn,M,A,mid,Uttrøndersk,63.7649663,9.808629
bodoe_02uk,Bodø,F,A,north,Nordlandsk,67.2844313,14.3817503
kalvaag_03gm,Bremanger,M,B,west,Nordvestlandsk,61.8481029,5.0571352
bud_04gk,Bud,F,B,west,Nordvestlandsk,62.9072555,6.9140743
lommedalen_01um,Bærum,M,A,east,Østlandsk,59.9289639,10.4997108
boemlo_02uk,Bømlo,F,A,west,Sørvestlandsk,59.8011502,5.1866408
heroeyN_03gm,Dønna,M,B,north,Helgelandsk,66.1662544,12.4573928
eidfjord_04gk,Eidfjord,F,B,west,Sørvestlandsk,60.3456582,7.4012145
enebakk_01um,Enebakk,M,A,east,Østlandsk,59.7692492,11.1045466
drevsjoe_02uk,Engerdal,F,A,east,Østlandsk,61.9734157,11.9400962
evje_03gm,Evje og Hornnes,M,B,east,Sørlandsk,58.5860538,7.8615068
flaa_04gk,Flå,F,B,east,Midlandsk,60.4343238,9.5403716
fredrikstad_01um,Fredrikstad,M,A,east,Østlandsk,59.1862013,10.8680241
fusa_02uk,Fusa,F,A,west,Sørvestlandsk,60.1935843,5.7357713
gausdal_04gk,Gausdal,F,B,east,Midlandsk,61.2640681,9.8532187
gjesdal_04gk,Gjesdal,F,B,west,Sørvestlandsk,58.8312089,6.2770851
landvik_01um,Grimstad,M,A,east,Sørlandsk,58.2839967,8.7128291
kirkenaer_08gk,Grue,F,B,east,Østlandsk,60.4136053,12.2213265
hammerfest_03gm,Hammerfest,M,B,north,Troms-Finnmarks-mål,70.6413392,23.8360801
hattfjelldal_04gk,Hattfjelldal,F,B,north,Helgelandsk,65.4999558,14.170607
hjartdal_01um,Hjartdal,M,A,east,Midlandsk,59.6930294,8.690956
hjelmeland_02uk,Hjelmeland,F,A,west,Sørvestlandsk,59.203514,6.4062042
hof_03gm,Hof,M,B,east,Østlandsk,59.530321,10.0883162
hyllestad_04gk,Hyllestad,F,B,west,Nordvestlandsk,61.1683881,5.2496216
inderoey_01um,Inderøy,M,A,mid,Østtrøndsk,63.8499165,11.0926448
skaugdalen_43,Indre Fosen,F,A,mid,Østtrøndsk,63.6581939,10.2481551
jevnaker_03gm,Jevnaker,M,B,east,Østlandsk,60.8290235,11.2706474
joelster_04gk,Jølster,F,B,west,Nordvestlandsk,61.5714843,6.4791646
karmoey_02uk,Karmøy,F,A,west,Sørvestlandsk,59.2302888,5.1536117
kautokeino_03gm,Kautokeino,M,B,north,Troms-Finnmarks-mål,69.1325609,23.5782998
kristiansand_04gk,Kristiansand,F,B,west,Sørlandsk,58.0856276,7.931858
kvinnherad_02uk,Kvinnherad,F,A,west,Sørvestlandsk,59.9531724,6.0325141
kvaefjord_03gm,Kvæfjord,M,B,north,Troms-Finnmarks-mål,68.6875552,16.0922263
kvaenangen_04gk,Kvænangen,F,B,north,Troms-Finnmarks-mål,69.8594962,22.0571038
kaafjord_01um,Kåfjord,M,A,north,Troms-Finnmarks-mål,69.4973215,20.7271716
lardal_02uk,Lardal,F,A,east,Østlandsk,59.4017115,9.9634678
brunlanes_03gm,Larvik,M,B,east,Østlandsk,59.0967308,10.02193
lavangen_04gk,Lavangen,F,B,north,Troms-Finnmarks-mål,68.7169832,17.8162748
kjoellefjord_01um,Lebesby,M,A,north,Troms-Finnmarks-mål,70.6657291,26.8128235
sylling_02uk,Lier,F,A,east,Østlandsk,59.8453135,10.2115525
lierne_03gm,Lierne,M,B,mid,Østtrøndsk,64.4116728,13.6038091
lindaas_04gk,Lindås,F,B,west,Sørvestlandsk,60.7363494,5.1614412
lom_01um,Lom,M,A,east,Midlandsk,61.7142578,8.4258977
luster_06uk,Luster,F,A,west,Sørvestlandsk,61.5189484,7.5692149
luster_02uk,Luster,F,A,west,Sørvestlandsk,61.5189484,7.5692149
lyngdal_03gm,Lyngdal,M,B,west,Sørvestlandsk,58.1516995,7.0523045
gauldal_04gk,Melhus,F,B,mid,Østtrøndsk,63.1814332,10.3081345
meraaker_01um,Meråker,M,A,mid,Østtrøndsk,63.3969215,11.8124874
mo_i_rana_02uk,Mo i Rana,F,A,north,Helgelandsk,66.3110969,14.1386991
kirkesdalen_03gm,Målselv,M,B,north,Troms-Finnmarks-mål,68.969193,19.3970839
namdalen_04gk,Namsos,F,B,mid,Namdalsk,64.4666372,11.3345047
narvik_01um,Narvik,M,A,north,Nordlandsk,69.0639754,18.5096004
nes_02uk,Nes,F,A,east,Midlandsk,60.1705037,11.4551179
nes_01um,Nes,M,A,east,Midlandsk,60.1705037,11.4551179
nissedal_03gm,Nissedal,M,B,east,Sørlandsk,59.0497365,8.5280135
oppdal_02,Oppdal,F,B,mid,Østtrøndsk,62.5351785,9.6233763
oppdal_10,Oppdal,F,A,mid,Østtrøndsk,62.5351785,9.6233763
dalsbygda_01um,Os,M,A,east,Sørvestlandsk,62.4151857,11.4096629
dalsbygda_03gm,Os,M,B,east,Østlandsk,62.4151857,11.4096629
dalsbygda_01um,Os,M,A,east,Østlandsk,62.4151857,11.4096629
lakselv_02uk,Porsanger,F,A,north,Troms-Finnmarks-mål,70.2331268,25.1993945
rauma_03gm,Rauma,M,B,west,Nordvestlandsk,62.4454746,7.6883586
brekkom_04gk,Ringebu,F,B,east,Midlandsk,61.5572191,10.3649275
rollag_01um,Rollag,M,A,east,Midlandsk,60.0156726,9.2080743
roemskog_02uk,Rømskog,F,A,east,Østlandsk,59.7492558,11.8128562
roeros_03gm,Røros,M,B,mid,Østtrøndsk,62.5695151,11.6604412
selbu_04gk,Selbu,F,B,mid,Østtrøndsk,63.1754254,11.1596265
medby_75,Senja,M,A,north,Troms-Finnmarks-mål,69.3865567,17.5147192
sirdal_02uk,Sirdal,F,A,west,Sørvestlandsk,58.8454,6.8221129
sokndal_03gm,Sokndal,M,B,west,Sørvestlandsk,58.2461254,6.1595656
stange_03gm,Stange,M,B,east,Østlandsk,60.6244351,11.3831208
stavanger_01um,Stavanger,M,A,west,Sørvestlandsk,58.9699675,5.7318101
steigen_02uk,Steigen,F,A,north,Nordlandsk,67.8535836,14.8017083
stranda_03gm,Stranda,M,B,west,Nordvestlandsk,64.4725477,11.4464028
stryn_04gk,Stryn,F,B,west,Nordvestlandsk,61.8218058,6.8029685
suldal_01um,Suldal,M,A,west,Sørvestlandsk,59.5432754,6.5569344
surnadal_28,Surnadal,F,A,mid,Uttrøndersk,63.0020446,8.9958386
soemna_03gm,Sømna,M,B,north,Helgelandsk,65.3597065,12.2236796
kirkenes_04gk,Sør-Varanger,F,B,north,Troms-Finnmarks-mål,69.5375661,29.7261372
tana_01um,Tana,M,A,north,Troms-Finnmarks-mål,70.2823342,27.8913272
time_02uk,Time,F,A,west,Sørvestlandsk,58.7074226,5.7512222
tinn_03gm,Tinn,M,B,east,Midlandsk,59.9752133,8.5860193
tromsoe_04gk,Tromsø,F,B,north,Troms-Finnmarks-mål,69.6516345,18.9558585
trondheim_01um,Trondheim,M,A,mid,Østtrøndsk,63.4304475,10.3952118
trysil_02uk,Trysil,F,A,east,Østlandsk,61.3561476,12.3670225
heroeyMR_03gm,Ulstein,M,B,west,Nordvestlandsk,62.3637808,5.828636
valle_04gk,Valle,F,B,east,Sørlandsk,59.1690716,7.4247694
vang_01um,Vang,M,A,east,Midlandsk,61.1922086,8.4695189
vardoe_02uk,Vardø,F,A,north,Troms-Finnmarks-mål,70.3308158,30.9618205
vegaarshei_03gm,Vegårshei,M,B,east,Sørlandsk,58.755369,8.82343
vennesla_04gk,Vennesla,F,B,west,Sørlandsk,58.3398618,7.7707903
stamsund_02uk,Vestvågøy,F,A,north,Nordlandsk,68.1607217,13.784107
vinje_01um,Vinje,M,A,east,Midlandsk,59.8071383,7.7137703
volda_04gk,Volda,F,B,west,Nordvestlandsk,62.0803797,6.2744108
voss_01um,Voss,M,A,west,Sørvestlandsk,60.6837067,6.4079051
stokkoeya_31,Åfjord,F,A,mid,Uttrøndersk,64.0835634,10.2199077
aal_03gm,Ål,M,B,east,Midlandsk,60.6972655,8.5037405
rena_04gk,Åmot,F,B,east,Østlandsk,61.261178,11.6052056
aaseral_01um,Åseral,M,A,west,Sørvestlandsk,58.6845227,7.3948677
myre_02uk,Øksnes,F,A,north,Nordlandsk,69.5244952,20.7497993
skreia_03gm,Østre Toten,M,B,east,Østlandsk,60.6228265,10.90942
darbu_04gk,Øvre Eiker,F,B,east,Østlandsk,59.7441709,9.8412147
